R1,R2,R3,R4,R5,R6,R7,FECHA
12,28,32,40,45,52,46,2020-01-01
12,13,15,34,36,47,28,2020-01-05
9,11,14,20,24,44,30,2020-01-08
15,16,19,25,50,54,29,2020-01-12
2,29,31,36,44,50,54,2020-01-15
13,20,21,24,32,50,35,2020-01-19
2,5,15,34,45,46,30,2020-01-22
1,6,31,32,43,47,39,2020-01-26
6,21,23,25,28,48,22,2020-01-29
19,21,26,50,55,56,17,2020-02-02
10,11,23,28,32,34,21,2020-02-05
6,13,16,40,41,53,45,2020-02-09
11,12,18,29,33,50,53,2020-02-12
15,23,43,44,50,55,4,2020-02-16
13,14,17,35,39,54,45,2020-02-19
14,28,40,42,43,45,23,2020-02-23
9,19,39,46,49,56,7,2020-02-26
10,12,20,29,46,47,27,2020-03-01
6,7,31,33,42,52,21,2020-03-04
15,22,35,44,50,53,3,2020-03-08
3,6,9,16,25,42,29,2020-03-11
3,6,12,21,43,51,24,2020-03-15
3,11,14,18,38,47,52,2020-03-18
5,6,10,15,28,52,39,2020-03-22
11,19,24,26,33,56,50,2020-03-25
12,15,16,18,39,47,36,2020-03-29
13,19,24,39,40,46,21,2020-04-01
5,21,23,41,43,56,33,2020-07-26
9,17,43,46,48,53,12,2020-07-29
17,18,24,34,41,50,37,2020-08-02
1,8,19,35,37,43,31,2020-08-05
12,23,39,45,54,56,7,2020-08-09
8,15,17,35,39,45,13,2020-08-12
11,12,23,25,41,44,4,2020-08-16
17,21,27,42,50,52,16,2020-08-19
9,17,29,52,54,56,49,2020-08-23
2,8,11,18,25,56,17,2020-08-26
16,26,27,30,41,54,21,2020-08-30
11,16,28,38,39,53,18,2020-09-02
5,12,21,27,43,49,11,2020-09-06
5,11,28,35,38,42,30,2020-09-09
1,22,30,36,45,52,49,2020-09-13
13,14,19,27,35,54,25,2020-09-16
8,14,32,40,43,45,15,2020-09-20
37,38,42,48,49,50,26,2020-09-23
9,19,22,24,30,34,52,2020-09-27
4,15,16,21,35,56,45,2020-09-30
4,19,36,39,40,53,52,2020-10-04
3,14,16,21,32,54,13,2020-10-07
3,8,31,32,52,54,48,2020-10-11
5,29,30,34,36,50,37,2020-10-14
1,12,14,31,34,56,55,2020-10-18
1,5,24,29,30,46,19,2020-10-21
3,7,10,28,34,43,20,2020-10-25
3,30,42,49,50,51,40,2020-10-28
16,18,34,42,47,55,43,2020-11-01
1,3,5,53,54,56,42,2020-11-04
1,11,20,38,41,43,39,2020-11-08
7,16,18,24,46,54,49,2020-11-11
1,5,15,18,24,54,50,2020-11-15
11,15,28,31,39,50,2,2020-11-18
3,8,32,37,39,43,30,2020-11-22
9,37,40,42,50,55,45,2020-11-25
11,13,25,27,48,53,18,2020-11-29
6,17,21,26,41,51,30,2020-12-02
5,26,38,48,50,54,13,2020-12-06
9,25,27,30,31,41,2,2020-12-09
4,17,30,36,42,53,32,2020-12-13
22,24,25,31,32,56,38,2020-12-16
7,10,37,45,54,55,23,2020-12-20
9,16,19,33,46,50,10,2020-12-23
1,3,14,26,29,32,51,2020-12-27
13,18,22,29,33,50,6,2020-12-30
5,9,26,39,40,43,48,2021-01-03
18,22,23,33,52,54,11,2021-01-06
1,13,42,45,50,53,33,2021-01-10
6,10,30,31,34,36,47,2021-01-13
24,31,44,47,54,56,50,2021-01-17
12,15,25,32,34,50,51,2021-01-20
2,4,21,25,33,46,17,2021-01-24
15,17,18,28,30,40,3,2021-01-27
5,18,25,35,39,48,16,2021-01-31
1,6,27,31,37,48,55,2021-02-03
6,11,25,38,50,53,47,2021-02-07
9,17,18,31,41,54,8,2021-02-10
2,5,15,17,44,55,12,2021-02-14
1,6,36,42,44,45,19,2021-02-17
3,14,19,25,39,50,49,2021-02-21
4,22,28,38,49,51,32,2021-02-24
15,27,30,38,44,55,41,2021-02-28
10,14,15,23,49,52,4,2021-03-03
4,7,18,19,20,37,17,2021-03-07
1,11,14,23,46,49,34,2021-03-10
13,23,27,32,49,52,12,2021-03-14
4,10,13,17,28,29,47,2021-03-17
12,15,22,34,36,48,54,2021-03-21
2,6,10,14,27,45,39,2021-03-24
14,23,43,44,45,56,17,2021-03-28
26,28,35,40,41,49,52,2021-03-31
7,14,38,44,46,49,6,2021-04-04
1,5,17,31,42,46,51,2021-04-07
4,20,37,43,54,55,21,2021-04-11
2,3,5,11,47,48,44,2021-04-14
6,13,15,22,40,41,38,2021-04-18
7,24,26,49,51,54,25,2021-04-21
3,26,29,37,51,54,38,2021-04-25
8,21,33,43,44,50,14,2021-04-28
19,39,43,49,50,52,17,2021-05-02
12,14,24,34,49,50,52,2021-05-05
13,21,35,36,44,47,54,2021-05-09
8,9,17,32,34,48,27,2021-05-12
6,10,29,47,55,56,54,2021-05-16
20,22,39,51,52,54,38,2021-05-19
29,32,38,39,51,54,53,2021-05-23
12,13,28,33,34,51,53,2021-05-26
23,24,26,32,35,54,45,2021-05-30
1,3,26,48,49,51,45,2021-06-02
1,6,12,18,22,33,19,2021-06-06
3,22,24,37,39,42,50,2021-06-09
10,20,23,24,40,49,44,2021-06-13
3,7,14,18,33,44,29,2021-06-16
26,32,38,41,55,56,42,2021-06-20
23,28,32,34,37,38,55,2021-06-23
3,6,32,36,42,45,27,2021-06-27
8,16,21,36,48,51,45,2021-06-30
12,19,21,24,41,42,3,2021-07-04
1,3,13,33,39,51,43,2021-07-07
6,22,24,27,41,45,51,2021-07-11
1,13,22,32,36,53,54,2021-07-14
5,16,23,24,33,47,11,2021-07-18
2,7,9,25,32,41,38,2021-07-21
6,15,18,20,38,43,27,2021-07-25
7,11,13,15,47,51,24,2021-07-28
5,12,14,17,41,46,13,2021-08-01
1,8,20,29,37,44,25,2021-08-04
1,5,31,46,52,56,2,2021-08-08
4,6,13,15,17,29,42,2021-08-11
15,21,28,35,40,48,27,2021-08-15
14,32,33,36,39,40,29,2021-08-18
4,7,17,29,31,51,12,2021-08-22
5,8,11,20,25,41,14,2021-08-25
11,15,34,41,44,50,30,2021-08-29
7,14,30,49,51,55,13,2021-09-01
20,23,37,39,41,56,46,2021-09-05
8,25,32,46,49,56,41,2021-09-08
2,4,16,24,31,40,39,2021-09-12
5,13,18,22,30,43,56,2021-09-15
16,24,37,38,47,52,13,2021-09-19
7,8,24,25,37,55,42,2021-09-22
2,9,11,36,49,56,27,2021-09-26
10,15,31,37,51,56,26,2021-09-29
2,24,26,31,48,50,44,2021-10-03
1,5,15,32,33,36,47,2021-10-06
1,2,17,20,36,56,48,2021-10-10
8,17,31,46,47,54,18,2021-10-13
17,24,26,32,34,40,37,2021-10-17
2,3,6,29,33,44,38,2021-10-20
15,22,24,29,31,50,7,2021-10-24
11,13,19,31,42,46,6,2021-10-27
13,16,19,20,21,32,15,2021-10-31
6,9,18,33,35,48,24,2021-11-03
1,6,10,14,30,53,54,2021-11-07
11,13,18,25,27,56,28,2021-11-10
24,33,35,38,49,52,2,2021-11-14
4,5,14,18,54,55,15,2021-11-17
11,12,21,30,39,41,48,2021-11-21
3,10,14,30,45,56,9,2021-11-24
18,19,27,47,53,56,51,2021-11-26
5,10,17,42,47,54,12,2021-11-28
12,20,25,35,41,43,6,2021-12-01
5,14,22,34,35,41,43,2021-12-03
28,32,34,43,49,55,7,2021-12-05
2,33,36,39,44,52,30,2021-12-08
6,8,18,32,43,51,17,2021-12-10
10,24,34,44,47,53,5,2021-12-12
6,27,38,45,53,54,18,2021-12-15
8,33,36,37,52,56,38,2021-12-17
1,9,26,41,47,53,5,2021-12-19
5,17,18,23,29,30,40,2021-12-22
1,21,24,26,29,33,22,2021-12-24
2,4,35,44,54,56,28,2021-12-26
14,15,32,50,53,55,43,2021-12-29
1,9,17,18,35,47,13,2021-12-31
3,7,13,32,40,41,22,2022-01-02
9,11,22,36,47,49,38,2022-01-05
2,9,11,17,27,42,25,2022-01-07
1,5,14,23,24,54,56,2022-01-09
13,22,28,33,34,50,7,2022-01-12
6,21,23,26,35,53,44,2022-01-14
12,17,18,37,44,50,8,2022-01-16
22,27,42,48,53,55,28,2022-01-19
1,3,8,17,36,41,44,2022-01-21
3,8,19,25,34,51,10,2022-01-23
3,18,19,45,49,50,54,2022-01-26
21,27,40,44,45,53,37,2022-01-28
15,16,40,41,51,52,25,2022-01-30
4,5,34,38,46,55,29,2022-02-02
10,14,34,37,42,54,1,2022-02-04
5,20,35,48,53,56,23,2022-02-06
29,36,38,39,42,49,48,2022-02-09
3,8,10,11,14,56,18,2022-02-11
11,28,41,44,47,55,52,2022-02-13
10,11,14,23,24,38,44,2022-02-16
6,7,8,25,26,40,55,2022-02-18
29,37,40,44,53,54,42,2022-02-20
20,46,50,53,54,55,6,2022-02-23
5,10,14,24,49,54,32,2022-02-25
13,18,22,33,43,53,25,2022-02-27
8,12,13,28,34,48,43,2022-03-02
15,17,26,31,37,42,29,2022-03-04
