timestamp,open,high,low,close
1611532800,1392.80310101324,1474.52773625873,1298.05841022457,1320.53418905315
1611532740,1394.89240955096,undefined,undefined,undefined
1611446400,1225.72460974194,1398.74599077542,1224.83536363854,1396.40717037152
1611446340,1233.07541518319,undefined,undefined,undefined
1611360000,1225.24504144009,1272.03445705347,1198.23785788289,1231.19777528963
1611359940,1238.21076618359,undefined,undefined,undefined
1611273600,1108.98549411511,1272.67348975082,1044.84430214649,1238.86179984982
1611273540,1117.33528291438,undefined,undefined,undefined
1611187200,1385.94901173278,1385.94901173278,1093.2452287276,1118.96929941894
1611187140,1376.48156063855,undefined,undefined,undefined
1611100800,1345.49859961972,1387.4496273112,1238.59804978669,1379.46344204056
1611100740,1374.68415933701,undefined,undefined,undefined
1611014520,1272.53652024154,undefined,undefined,undefined
1611014400,1272.53652024154,1435.39342022202,1253.58215426266,1377.49901943429
1610928000,1238.15766366004,1260.24596062675,1186.39531997857,1258.69565365003
1610927940,1233.04106045688,undefined,undefined,undefined
1610841600,1214.54035102134,1268.21860887487,1168.38318697073,1230.90367044303
1610841540,1228.42872791677,undefined,undefined,undefined
1610755200,1179.16670866079,1291.3570446391,1153.62966280958,1232.40731808354
1610755140,1171.9600846364,undefined,undefined,undefined
1610668800,1238.31408261135,1253.12850414627,1074.01003493451,1172.00531725094
1610668740,1226.54749450121,undefined,undefined,undefined
1610582400,1143.27401456321,1245.93793681936,1088.50501559995,1219.19615105075
1610582340,1131.36795396389,undefined,undefined,undefined
1610496000,1041.45790149547,1135.84192960738,992.339227808426,1130.08481165201
1610495940,1049.42393380939,undefined,undefined,undefined
1610409600,1080.13061101123,1148.09924743331,1010.10841577643,1044.71820139034
1610409540,1091.95703939488,undefined,undefined,undefined
1610323200,1246.09806991149,1246.09806991149,914.314261896295,1088.97657976564
1610236800,1289.67,1349.87,1174.14606922303,1259.2726663138
1610150400,1231.84696252625,1307.42,1176.78167395926,1279.4
1610150340,1217.81906457655,undefined,undefined,undefined
1610064000,1222.41217589992,1272.32652505955,1071.42474058595,1219.87924411048
1610063940,1224.13268501238,undefined,undefined,undefined
1609977600,1216.66268082987,1288.58537033696,1157.00624931522,1222.80515533547
1609977540,1209.04534408861,undefined,undefined,undefined
1609891200,1109.86235447576,1212.71228180906,1060.05513587141,1212.71228180906
1609804800,1048.55437513157,1131.20779385241,977.31442287338,1099.42295804036
1609718640,988.523826511797,undefined,undefined,undefined
1609718400,988.523826511797,1158.36400776181,898.01957957474,1040.84748386268
1609632000,778.192567528081,1008.03837216588,770.513914089876,964.807915219908
1609631940,775.139098478912,undefined,undefined,undefined
1609545600,727.561544955209,787.782321297772,716.628583618961,775.692996859053
1609545540,730.11459044448,undefined,undefined,undefined
1609459200,738.526091686949,749.442450532687,716.778278747358,729.961842816558
1609459140,737.19262442485,undefined,undefined,undefined
1609372800,753.412571812019,755.149041861364,724.889373944934,737.811755078985
1609372740,752.399698793391,undefined,undefined,undefined
1609286400,734.205507846616,756.121832487946,719.997140950268,752.246269513896
1609286340,731.7431019737,undefined,undefined,undefined
1609200000,731.418480156824,738.845314071228,689.995483889095,732.291228730702
1609199940,729.62216581048,undefined,undefined,undefined
1609113600,687.879108370936,746.75973181935,683.592367045754,730.437338373381
1609113480,682.143779254035,undefined,undefined,undefined
1609027200,638.50760624783,712.616189536983,626.019740649703,682.273035465128
1609027140,635.973819809308,undefined,undefined,undefined
1608940800,628.604621046189,651.536484271604,615.490934065442,636.469471300348
1608940740,626.583639556847,undefined,undefined,undefined
1608854400,615.147380392574,633.46080024827,605.259966439517,626.422980837066
